"Series▲▼(all)LCD-122H032A, LCD-122H032CLCD-122H032B, LCD-122H032GLCD-122H032BP1LCD-122H032DLCD-122H032E, LCD-122H032JLCD-122H032ILCD-122H032KLCD-122H032LLCD-122H032MLCD-122H032NLCD-122H032OLCD-128H064ALCD-128H064BLCD-128H064CLCD-128H064DLCD-128H064ELCD-128H064ILCD-128H064KLCD-128H064MLCD-128H128ALCD-144H032ALCD-144H032BLCD-144H032DLCD-160H032ALCD-160H128BLCD-160H128CLCD-160H128ELCD-160H160ALCD-202H032ALCD-240H064ALCD-240H064CLCD-240H064JLCD-240H128ALCD-240H128BLCD-240H128ELCD-320H240ALCD-320H240BLCD-320H240BX, LCD-320H240BP2, LCD-320H240BP3LCD-320H240CLCD-320H240CX",Type(V)▲▼(all)Graphic,Display Format▲▼(all)122 x 32 dots128 x 64 dots128 x 64 dots and 4 icons128 x 128 dots144 x 32 dots160 x 32 dots160 x 128 dots160 x 160 dots202 x 32 dots240 x 64 dots240 x 128 dots320 x 240 dots,Outline Dimensions(W x H mm)▲▼(all)54.0 x 50.0 x 7.559.0 x 29.359.0 x 29.3 x 5.559.0 x 29.3 x 5.5559.0 x 32.165.4 x 28.265.4 x 28.2 x 10.575.0 x 52.777.8 x 27.278.0 x 70.0 x 14.380.0 x 36.080.0 x 70.084.0 x 44.085.0 x 30.0 x 13.285.0 x 36.085.0 x 100.085.2 x 55.089.2 x 85.093.0 x 70.095.5 x 50.2113.0 x 53.0115.0 x 112.0129.0 x 102.0144.0 x 104.0146.0 x 43.0148.02 x 120.24166.8 x 109.0170.0 x 103.5180.0 x 65.0,Effective Viewing Area(W x H mm)▲▼(all)43.5 x 29.052.0 x 15.054.8 x 19.060.0 x 18.060.0 x 32.662.0 x 44.062.0 x 62.066.0 x 16.072.0 x 40.074.0 x 22.0101.0 x 82.0114.0 x 64.0120.14 x 92.14122.0 x 92.0123.0 x 23.0132.0 x 76.0132.6 x 39.0133.0 x 39.0,Character Size(W x H mm)▲▼(all)N/a,Dot Size(W x H mm)▲▼(all)0.28 x 0.350.34 x 0.340.345 x 0.3450.36 x 0.410.38 x 0.380.39 x 0.390.40 x 0.400.40 x 0.450.40 x 0.560.42 x 0.580.43 x 0.430.47 x 0.470.48 x 0.480.49 x 0.490.54 x 0.540.56 x 0.560.57 x 0.57,Dot Pitch(W x H mm)▲▼(all)0.32 x 0.390.36 x 0.360.375 x 0.3750.38 x 0.380.40 x 0.450.42 x 0.420.43 x 0.430.44 x 0.490.44 x 0.600.44 x 0.610.45 x 0.450.50 x 0.500.52 x 0.520.53 x 0.530.58 x 0.580.59 x 0.590.60 x 0.60,Driving Method (Duty)▲▼(all)1/321/641/1281/1601/240,Built-In Controller▲▼(all)(ST7920)Avant (SBN1661G) or equivalentEpson S1D13700Epson SED1520 (or equivalent)NoneNT7108 or equivalentRA6963RA8835 and SRAMSamsung KS 0107/KS 0108 (or equivalent)Samsung KS 0108ST7920Toshiba T6963CToshiba T6963C (or equivalent),Process Color STN Gray▲▼(all)x,Process Color STN Yellow▲▼(all)x,Process Color STN Blue▲▼(all)x,Process Color FSTN B & W▲▼(all)x,BL None▲▼(all)x,BL LED▲▼(all)x,BL EL▲▼(all)x,BL CCFL▲▼(all)x,Image path
"LCD-122H032A, LCD-122H032C",Graphic,122 x 32 dots,84.0 x 44.0,60.0 x 18.0,N/a,0.40 x 0.45,0.44 x 0.49,1/32,Epson SED1520 (or equivalent),x,x,x,x,x,x,x,,
"LCD-122H032B, LCD-122H032G",Graphic,122 x 32 dots,65.4 x 28.2,54.8 x 19.0,N/a,0.36 x 0.41,0.40 x 0.45,1/32,Epson SED1520 (or equivalent),x,x,,,x,x,,,
LCD-122H032BP1,Graphic,122 x 32 dots,65.4 x 28.2 x 10.5,54.8 x 19.0,N/a,0.36 x 0.41,0.40 x 0.45,1/32,Epson SED1520 (or equivalent),x,x,,,,x,,,
LCD-122H032D,Graphic,122 x 32 dots,59.0 x 29.3,52.0 x 15.0,N/a,0.345 x 0.345,0.375 x 0.375,1/32,Epson SED1520 (or equivalent),x,x,,x,x,x,x,,
"LCD-122H032E, LCD-122H032J",Graphic,122 x 32 dots,80.0 x 36.0,60.0 x 18.0,N/a,0.40 x 0.45,0.44 x 0.49,1/32,Epson SED1520 (or equivalent),x,x,x,x,x,x,x,,
LCD-122H032I,Graphic,122 x 32 dots,59.0 x 29.3 x 5.55,52.0 x 15.0,N/a,0.345 x 0.345,0.375 x 0.375,1/32,Epson SED1520 (or equivalent),x,x,,x,x,,,,
LCD-122H032K,Graphic,122 x 32 dots,59.0 x 32.1,52.0 x 15.0,N/a,0.345 x 0.345,0.375 x 0.375,1/32,Epson SED1520 (or equivalent),x,x,,x,x,x,x,,
LCD-122H032L,Graphic,122 x 32 dots,84.0 x 44.0,60.0 x 18.0,N/a,0.40 x 0.45,0.44 x 0.49,1/32,ST7920,x,x,x,x,x,x,x,,
LCD-122H032M,Graphic,122 x 32 dots,59.0 x 29.3 x 5.5,52.0 x 15.0,N/a,0.345 x 0.345,0.375 x 0.375,1/32,ST7920,x,x,,x,x,,,,
LCD-122H032N,Graphic,122 x 32 dots,59.0 x 29.3 x 5.5,52.0 x 15.0,N/a,0.345 x 0.345,0.375 x 0.375,1/32,ST7920,x,x,,x,x,x,x,,
LCD-122H032O,Graphic,122 x 32 dots,77.8 x 27.2,60.0 x 18.0,N/a,0.40 x 0.45,0.44 x 0.49,1/32,Epson SED1520 (or equivalent),x,x,,x,x,x,x,,
LCD-128H064A,Graphic,128 x 64 dots,93.0 x 70.0,72.0 x 40.0,N/a,0.48 x 0.48,0.52 x 0.52,1/64,Samsung KS 0107/KS 0108 (or equivalent),x,x,x,x,x,x,x,,
LCD-128H064B,Graphic,128 x 64 dots,75.0 x 52.7,60.0 x 32.6,N/a,0.39 x 0.39,0.43 x 0.43,1/64,Samsung KS 0107/KS 0108 (or equivalent),x,x,x,,x,x,x,x,
LCD-128H064C,Graphic,128 x 64 dots,78.0 x 70.0 x 14.3,62.0 x 44.0,N/a,0.42 x 0.58,0.44 x 0.60,1/64,Samsung KS 0107/KS 0108 (or equivalent),x,x,x,,x,x,x,,
LCD-128H064D,Graphic,128 x 64 dots,78.0 x 70.0 x 14.3,62.0 x 44.0,N/a,0.42 x 0.58,0.44 x 0.60,1/64,RA6963,x,x,x,x,x,x,x,,
LCD-128H064E,Graphic,128 x 64 dots and 4 icons,54.0 x 50.0 x 7.5,43.5 x 29.0,N/a,0.28 x 0.35,0.32 x 0.39,1/64,Samsung KS 0108,x,x,,x,x,,x,,
LCD-128H064I,Graphic,128 x 64 dots,80.0 x 70.0,72.0 x 40.0,N/a,0.48 x 0.48,0.52 x 0.52,1/64,NT7108 or equivalent,x,x,x,x,x,x,x,,
LCD-128H064K,Graphic,128 x 64 dots,113.0 x 53.0,72.0 x 40.0,N/a,0.48 x 0.48,0.52 x 0.52,1/64,Samsung KS 0107/KS 0108 (or equivalent),x,x,x,x,x,x,x,,
LCD-128H064M,Graphic,128 x 64 dots,95.5 x 50.2,72.0 x 40.0,N/a,0.48 x 0.48,0.52 x 0.52,1/64,Samsung KS 0107/KS 0108 (or equivalent),x,x,x,x,x,x,x,,
LCD-128H128A,Graphic,128 x 128 dots,85.0 x 100.0,62.0 x 62.0,N/a,0.40 x 0.40,0.43 x 0.43,1/128,RA6963,x,x,x,x,x,x,x,,
LCD-144H032A,Graphic,144 x 32 dots,85.0 x 36.0,66.0 x 16.0,N/a,0.38 x 0.38,0.42 x 0.42,1/32,ST7920,x,x,x,x,x,x,x,,
LCD-144H032B,Graphic,144 x 32 dots,80.0 x 36.0,66.0 x 16.0,N/a,0.38 x 0.38,0.42 x 0.42,1/32,ST7920,x,x,x,x,x,x,x,,
LCD-144H032D,Graphic,144 x 32 dots,85.0 x 30.0 x 13.2,66.0 x 16.0,N/a,0.38 x 0.38,0.42 x 0.42,1/32,(ST7920),x,x,x,x,x,x,x,,
LCD-160H032A,Graphic,160 x 32 dots,85.2 x 55.0,74.0 x 22.0,N/a,0.40 x 0.56,0.44 x 0.61,1/32,Epson SED1520 (or equivalent),x,x,x,,x,x,x,,
LCD-160H128B,Graphic,160 x 128 dots,129.0 x 102.0,101.0 x 82.0,N/a,0.56 x 0.56,0.60 x 0.60,1/128,RA6963,x,x,x,x,x,x,x,x,
LCD-160H128C,Graphic,160 x 128 dots,115.0 x 112.0,101.0 x 82.0,N/a,0.56 x 0.56,0.60 x 0.60,1/128,Toshiba T6963C (or equivalent),x,x,x,x,,x,x,x,
LCD-160H128E,Graphic,160 x 128 dots,129.0 x 102.0,101.0 x 82.0,N/a,0.54 x 0.54,0.58 x 0.58,1/128,RA6963,x,x,x,x,x,x,x,x,
LCD-160H160A,Graphic,160 x 160 dots,89.2 x 85.0,62.0 x 62.0,N/a,0.34 x 0.34,0.38 x 0.38,1/160,None,x,x,x,x,x,x,x,,
LCD-202H032A,Graphic,202 x 32 dots,146.0 x 43.0,123.0 x 23.0,N/a,0.57 x 0.57,0.59 x 0.59,1/32,Avant (SBN1661G) or equivalent,x,x,x,x,x,x,x,,
LCD-240H064A,Graphic,240 x 64 dots,180.0 x 65.0,133.0 x 39.0,N/a,0.49 x 0.49,0.53 x 0.53,1/64,RA6963,x,x,x,x,x,x,x,x,
LCD-240H064C,Graphic,240 x 64 dots,180.0 x 65.0,133.0 x 39.0,N/a,0.49 x 0.49,0.53 x 0.53,1/64,Toshiba T6963C (or equivalent),x,x,x,x,x,x,x,x,
LCD-240H064J,Graphic,240 x 64 dots,180.0 x 65.0,132.6 x 39.0,N/a,0.48 x 0.48,0.53 x 0.53,1/64,RA6963,x,x,x,x,x,x,x,x,
LCD-240H128A,Graphic,240 x 128 dots,170.0 x 103.5,132.0 x 76.0,N/a,0.47 x 0.47,0.50 x 0.50,1/128,Toshiba T6963C,x,x,x,x,x,x,x,x,
LCD-240H128B,Graphic,240 x 128 dots,144.0 x 104.0,114.0 x 64.0,N/a,0.40 x 0.40,0.45 x 0.45,1/128,Toshiba T6963C,x,x,x,x,x,x,x,x,
LCD-240H128E,Graphic,240 x 128 dots,144.0 x 104.0,114.0 x 64.0,N/a,0.43 x 0.43,0.45 x 0.45,1/128,Toshiba T6963C (or equivalent),x,x,x,x,x,x,x,x,
LCD-320H240A,Graphic,320 x 240 dots,166.8 x 109.0,122.0 x 92.0,N/a,0.34 x 0.34,0.36 x 0.36,1/240,None,x,x,x,x,x,x,x,x,
LCD-320H240B,Graphic,320 x 240 dots,166.8 x 109.0,122.0 x 92.0,N/a,0.34 x 0.34,0.36 x 0.36,1/240,RA8835 and SRAM,x,x,x,x,x,x,x,x,
"LCD-320H240BX, LCD-320H240BP2, LCD-320H240BP3",Graphic,320 x 240 dots,166.8 x 109.0,122.0 x 92.0,N/a,0.34 x 0.34,0.36 x 0.36,1/240,Epson S1D13700,x,x,x,x,x,x,x,x,
LCD-320H240C,Graphic,320 x 240 dots,148.02 x 120.24,120.14 x 92.14,N/a,0.34 x 0.34,0.36 x 0.36,1/240,RA8835 and SRAM,,,,,,,,,
LCD-320H240CX,Graphic,320 x 240 dots,148.02 x 120.24,120.14 x 92.14,N/a,0.34 x 0.34,0.36 x 0.36,1/240,Epson S1D13700,x,x,x,x,x,x,x,x,
